date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:24	151521/151521	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:24%20GMT	https://www.zavodmel.ru/vysokovoltnoe-oborudovanie/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/vysokovoltnoe-oborudovanie/index.html	(from https://www.zavodmel.ru/)
12:09:26	10426/10426	---MCZ	200	added ('OK')	text/css	etag:W/%22600da6be-28ba%22	https://www.zavodmel.ru/wp-content/plugins/scape-core/include/icon-fonts/scape-devices/scape-devices.min.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/plugins/scape-core/include/icon-fonts/scape-devices/scape-devices.min.css	(from https://www.zavodmel.ru/)
12:09:26	239668/239668	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:26%20GMT	https://www.zavodmel.ru/vvo-oborudovanie-6-10-kv/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/vvo-oborudovanie-6-10-kv/index.html	(from https://www.zavodmel.ru/)
12:09:28	24435/24435	---MCZ	200	added ('OK')	text/css	etag:W/%22600da6be-5f73%22	https://www.zavodmel.ru/wp-content/plugins/scape-core/include/icon-fonts/scape-basic/scape-basic.min.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/plugins/scape-core/include/icon-fonts/scape-basic/scape-basic.min.css	(from https://www.zavodmel.ru/)
12:09:28	154902/154902	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:28%20GMT	https://www.zavodmel.ru/vvo-oborudovanie-20-kv/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/vvo-oborudovanie-20-kv/index.html	(from https://www.zavodmel.ru/)
12:09:29	9852/9852	---MCZ	200	added ('OK')	text/css	etag:W/%2261093120-267c%22	https://www.zavodmel.ru/wp-content/themes/scape2/library/css/module-listitem.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/themes/scape2/library/css/module-listitem.css	(from https://www.zavodmel.ru/)
12:09:30	146493/146493	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:30%20GMT	https://www.zavodmel.ru/nizkovoltnoe-oborudovanie/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/nizkovoltnoe-oborudovanie/index.html	(from https://www.zavodmel.ru/)
12:09:31	73552/73552	---MCZ	200	added ('OK')	text/css	etag:W/%2261093120-11f50%22	https://www.zavodmel.ru/wp-content/themes/scape2/library/css/module-sicons.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/themes/scape2/library/css/module-sicons.css	(from https://www.zavodmel.ru/)
12:09:32	173468/173468	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:31%20GMT	https://www.zavodmel.ru/nizkovoltnoe-oborudovanie-jashhiki/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/nizkovoltnoe-oborudovanie-jashhiki/index.html	(from https://www.zavodmel.ru/)
12:09:33	166/166	---MCZ	200	added ('OK')	text/css	etag:W/%22600da6c6-a6%22	https://www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Medium/stylesheet.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Medium/stylesheet.css	(from https://www.zavodmel.ru/)
12:09:33	210091/210091	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:33%20GMT	https://www.zavodmel.ru/nizkovoltnoe-oborudovanie-shhity/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/nizkovoltnoe-oborudovanie-shhity/index.html	(from https://www.zavodmel.ru/)
12:09:35	168/168	---MCZ	200	added ('OK')	text/css	etag:W/%22600da6c6-a8%22	https://www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Regular/stylesheet.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Regular/stylesheet.css	(from https://www.zavodmel.ru/)
12:09:35	170390/170390	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:35%20GMT	https://www.zavodmel.ru/nizkovoltnoe-oborudovanie-paneli/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/nizkovoltnoe-oborudovanie-paneli/index.html	(from https://www.zavodmel.ru/)
12:09:36	162/162	---MCZ	200	added ('OK')	text/css	etag:W/%22600da6c6-a2%22	https://www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Book/stylesheet.css	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/wp-content/uploads/wtbx_custom_fonts/Stolzl-Book/stylesheet.css	(from https://www.zavodmel.ru/)
12:09:37	217911/217911	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2009:09:37%20GMT	https://www.zavodmel.ru/nizkovoltnoe-oborudovanie-vru/	D:/MegaFronTeam/WORK%202021/_Inc%20Project/inWork/0010Kalina2/0010Kalina2/www.zavodmel.ru/nizkovoltnoe-oborudovanie-vru/index.html	(from https://www.zavodmel.ru/)
